Title,Description,Category,PriorityScore
Sinkhole reported on main road,sinkhole on main road high risk of injury,Roads & Infra,0.761
Streetlight reported near market,streetlight near market risk to public safety,Street Lighting,0.953
Sewage overflow reported near school,sewage overflow near school risk to public safety,Water & Drainage,0.81
Hospital equipment reported near office area,hospital equipment near office area urgent action required,Healthcare,0.79
Lighting system reported at junction,lighting system at junction urgent action required,Street Lighting,0.797
Overflowing bin reported at junction,overflowing bin at junction risk to public safety,Waste & Sanitation,0.765
Lighting system reported near market,lighting system near market risk to public safety,Street Lighting,0.946
Garbage pile reported near office area,garbage pile near office area serious hazard,Waste & Sanitation,0.802
Electric pole reported near market,electric pole near market serious hazard,Public Safety,0.907
Overflowing bin reported at bus stop,overflowing bin at bus stop high risk of injury,Waste & Sanitation,0.866
Facility damage reported in residential area,facility damage in residential area serious hazard,Civic Services,0.93
Ambulance delay reported at junction,ambulance delay at junction urgent action required,Healthcare,0.951
Blocked road reported at bus stop,blocked road at bus stop urgent action required,Traffic & Transport,0.886
Streetlight reported in public park,streetlight in public park immediate danger,Street Lighting,0.83
Signboard reported at hospital,signboard at hospital urgent action required,Civic Services,0.941
Vehicle jam reported at hospital,vehicle jam at hospital urgent action required,Traffic & Transport,0.952
Trash heap reported near market,trash heap near market high risk of injury,Waste & Sanitation,0.84
Health hazard reported near office area,health hazard near office area urgent action required,Healthcare,0.969
Road crack reported at junction,road crack at junction emergency situation,Roads & Infra,0.842
Broken pavement reported on highway,broken pavement on highway risk to public safety,Roads & Infra,0.885
Blocked road reported at hospital,blocked road at hospital immediate danger,Traffic & Transport,0.838
Medical waste reported at hospital,medical waste at hospital high risk of injury,Healthcare,0.797
Footpath reported near office area,footpath near office area immediate danger,Public Spaces,0.885
Flickering light reported on highway,flickering light on highway immediate danger,Street Lighting,0.912
Broken pavement reported near market,broken pavement near market urgent action required,Roads & Infra,0.916
Flickering light reported in residential area,flickering light in residential area emergency situation,Street Lighting,0.823
Municipal office issue reported in residential area,municipal office issue in residential area emergency situation,Civic Services,0.774
Streetlight reported near office area,streetlight near office area emergency situation,Street Lighting,0.778
Water leakage reported near school,water leakage near school high risk of injury,Water & Drainage,0.886
Street sign reported near market,street sign near market urgent action required,Civic Services,0.812
Pipe burst reported at hospital,pipe burst at hospital immediate danger,Water & Drainage,0.831
Drain overflow reported near market,drain overflow near market immediate danger,Water & Drainage,0.823
Blocked road reported on main road,blocked road on main road immediate danger,Traffic & Transport,0.884
Damaged road reported at junction,damaged road at junction serious hazard,Roads & Infra,0.944
Municipal office issue reported on highway,municipal office issue on highway high risk of injury,Civic Services,0.856
Lighting system reported on highway,lighting system on highway high risk of injury,Street Lighting,0.974
Explosion risk reported in residential area,explosion risk in residential area urgent action required,Public Safety,0.785
Sinkhole reported in public park,sinkhole in public park urgent action required,Roads & Infra,0.913
Vehicle jam reported in public park,vehicle jam in public park immediate danger,Traffic & Transport,0.886
Waste accumulation reported in public park,waste accumulation in public park emergency situation,Waste & Sanitation,0.863
Dust reported at bus stop,dust at bus stop high risk of injury,Environment,0.796
Pipe burst reported on main road,pipe burst on main road high risk of injury,Water & Drainage,0.886
Municipal office issue reported near market,municipal office issue near market immediate danger,Civic Services,0.832
Hospital equipment reported on main road,hospital equipment on main road risk to public safety,Healthcare,0.857
Street sign reported at bus stop,street sign at bus stop risk to public safety,Civic Services,0.763
Street sign reported in public park,street sign in public park risk to public safety,Civic Services,0.919
Signboard reported in public park,signboard in public park urgent action required,Civic Services,0.974
Explosion risk reported at bus stop,explosion risk at bus stop serious hazard,Public Safety,0.933
Flickering light reported on main road,flickering light on main road immediate danger,Street Lighting,0.92
Accident reported on highway,accident on highway urgent action required,Traffic & Transport,0.901
Lighting system reported in residential area,lighting system in residential area urgent action required,Street Lighting,0.948
Explosion risk reported near market,explosion risk near market immediate danger,Public Safety,0.931
Air pollution reported in public park,air pollution in public park urgent action required,Environment,0.79
Electric wire reported at hospital,electric wire at hospital high risk of injury,Public Safety,0.792
Air pollution reported in residential area,air pollution in residential area emergency situation,Environment,0.79
Air pollution reported near office area,air pollution near office area risk to public safety,Environment,0.953
Garbage pile reported on main road,garbage pile on main road urgent action required,Waste & Sanitation,0.807
Traffic congestion reported in residential area,traffic congestion in residential area high risk of injury,Traffic & Transport,0.882
Hospital equipment reported near school,hospital equipment near school high risk of injury,Healthcare,0.911
Dust reported on main road,dust on main road serious hazard,Environment,0.852
Flickering light reported at bus stop,flickering light at bus stop immediate danger,Street Lighting,0.81
Building collapse reported near school,building collapse near school high risk of injury,Public Safety,0.833
Pipe burst reported at hospital,pipe burst at hospital emergency situation,Water & Drainage,0.942
Garbage pile reported at junction,garbage pile at junction high risk of injury,Waste & Sanitation,0.767
Sinkhole reported at junction,sinkhole at junction urgent action required,Roads & Infra,0.835
Sewage overflow reported near office area,sewage overflow near office area urgent action required,Water & Drainage,0.781
Accident reported at hospital,accident at hospital immediate danger,Traffic & Transport,0.968
Waterlogging reported near school,waterlogging near school serious hazard,Water & Drainage,0.761
Litter reported on main road,litter on main road emergency situation,Waste & Sanitation,0.862
Waste accumulation reported at bus stop,waste accumulation at bus stop risk to public safety,Waste & Sanitation,0.842
Smoke reported on highway,smoke on highway emergency situation,Environment,0.95
Burning waste reported at junction,burning waste at junction serious hazard,Environment,0.871
Electric wire reported near school,electric wire near school high risk of injury,Public Safety,0.825
Playground equipment reported at junction,playground equipment at junction risk to public safety,Public Spaces,0.847
Public park reported on main road,public park on main road urgent action required,Public Spaces,0.905
Pipe burst reported at bus stop,pipe burst at bus stop immediate danger,Water & Drainage,0.753
Medical waste reported in residential area,medical waste in residential area serious hazard,Healthcare,0.771
Burning waste reported on main road,burning waste on main road urgent action required,Environment,0.915
Burning waste reported in residential area,burning waste in residential area risk to public safety,Environment,0.777
Waterlogging reported on main road,waterlogging on main road emergency situation,Water & Drainage,0.858
Chemical spill reported near market,chemical spill near market emergency situation,Environment,0.969
Trash heap reported at junction,trash heap at junction risk to public safety,Waste & Sanitation,0.889
Dark street reported near school,dark street near school risk to public safety,Street Lighting,0.952
Broken pavement reported near market,broken pavement near market risk to public safety,Roads & Infra,0.773
Municipal office issue reported near school,municipal office issue near school immediate danger,Civic Services,0.942
Bus stop reported near office area,bus stop near office area high risk of injury,Public Spaces,0.793
Blocked road reported near school,blocked road near school urgent action required,Traffic & Transport,0.816
Waterlogging reported in residential area,waterlogging in residential area risk to public safety,Water & Drainage,0.927
Broken pavement reported on main road,broken pavement on main road urgent action required,Roads & Infra,0.812
Burning waste reported at junction,burning waste at junction high risk of injury,Environment,0.94
Medical waste reported on highway,medical waste on highway high risk of injury,Healthcare,0.925
Overflowing bin reported near market,overflowing bin near market risk to public safety,Waste & Sanitation,0.928
Explosion risk reported at junction,explosion risk at junction emergency situation,Public Safety,0.944
Flickering light reported in public park,flickering light in public park high risk of injury,Street Lighting,0.76
Playground equipment reported at junction,playground equipment at junction high risk of injury,Public Spaces,0.85
Traffic congestion reported near school,traffic congestion near school immediate danger,Traffic & Transport,0.887
Sewage overflow reported near market,sewage overflow near market serious hazard,Water & Drainage,0.954
Footpath reported on main road,footpath on main road immediate danger,Public Spaces,0.84
Blocked road reported near market,blocked road near market high risk of injury,Traffic & Transport,0.889
Litter reported at junction,litter at junction emergency situation,Waste & Sanitation,0.873
Accident reported near school,accident near school risk to public safety,Traffic & Transport,0.862
Smoke reported in residential area,smoke in residential area urgent action required,Environment,0.855
Street sign reported in residential area,street sign in residential area urgent action required,Civic Services,0.855
Dust reported at hospital,dust at hospital high risk of injury,Environment,0.923
Fire reported in residential area,fire in residential area emergency situation,Public Safety,0.945
Flickering light reported at junction,flickering light at junction emergency situation,Street Lighting,0.877
Damaged road reported in residential area,damaged road in residential area serious hazard,Roads & Infra,0.77
Building collapse reported in public park,building collapse in public park serious hazard,Public Safety,0.89
Garbage pile reported on main road,garbage pile on main road emergency situation,Waste & Sanitation,0.859
Dark street reported at hospital,dark street at hospital immediate danger,Street Lighting,0.929
Vehicle jam reported near school,vehicle jam near school serious hazard,Traffic & Transport,0.855
Municipal office issue reported near school,municipal office issue near school risk to public safety,Civic Services,0.975
Fire reported at bus stop,fire at bus stop immediate danger,Public Safety,0.828
Overflowing bin reported at junction,overflowing bin at junction emergency situation,Waste & Sanitation,0.811
Chemical spill reported in public park,chemical spill in public park urgent action required,Environment,0.799
Dust reported on highway,dust on highway serious hazard,Environment,0.799
Dust reported at hospital,dust at hospital high risk of injury,Environment,0.965
Lamp post reported at bus stop,lamp post at bus stop emergency situation,Street Lighting,0.954
Bus stop reported in residential area,bus stop in residential area immediate danger,Public Spaces,0.891
Municipal office issue reported in public park,municipal office issue in public park serious hazard,Civic Services,0.867
Power line reported in public park,power line in public park risk to public safety,Public Safety,0.906
Trash heap reported on highway,trash heap on highway urgent action required,Waste & Sanitation,0.882
Drain overflow reported on main road,drain overflow on main road serious hazard,Water & Drainage,0.868
Health hazard reported on highway,health hazard on highway emergency situation,Healthcare,0.756
Building collapse reported near market,building collapse near market immediate danger,Public Safety,0.944
Collision reported on main road,collision on main road urgent action required,Traffic & Transport,0.941
Park bench reported in residential area,park bench in residential area serious hazard,Public Spaces,0.947
Smoke reported in public park,smoke in public park emergency situation,Environment,0.907
Park bench reported at bus stop,park bench at bus stop emergency situation,Public Spaces,0.797
Garbage pile reported at bus stop,garbage pile at bus stop urgent action required,Waste & Sanitation,0.883
Trash heap reported at junction,trash heap at junction high risk of injury,Waste & Sanitation,0.884
Facility damage reported at hospital,facility damage at hospital serious hazard,Civic Services,0.979
Signboard reported on highway,signboard on highway immediate danger,Civic Services,0.879
Burning waste reported at junction,burning waste at junction urgent action required,Environment,0.857
Park bench reported in public park,park bench in public park emergency situation,Public Spaces,0.939
Collision reported in residential area,collision in residential area urgent action required,Traffic & Transport,0.843
Blocked road reported near school,blocked road near school urgent action required,Traffic & Transport,0.915
Health hazard reported at junction,health hazard at junction immediate danger,Healthcare,0.905
Drain overflow reported in residential area,drain overflow in residential area serious hazard,Water & Drainage,0.978
Hospital equipment reported at hospital,hospital equipment at hospital risk to public safety,Healthcare,0.833
Health hazard reported at bus stop,health hazard at bus stop emergency situation,Healthcare,0.756
Chemical spill reported on main road,chemical spill on main road immediate danger,Environment,0.892
Municipal office issue reported at junction,municipal office issue at junction immediate danger,Civic Services,0.835
Health hazard reported on main road,health hazard on main road risk to public safety,Healthcare,0.803
Street sign reported at junction,street sign at junction immediate danger,Civic Services,0.91
Broken pavement reported in public park,broken pavement in public park immediate danger,Roads & Infra,0.845
Public toilet reported at bus stop,public toilet at bus stop serious hazard,Civic Services,0.837
Blocked road reported at hospital,blocked road at hospital risk to public safety,Traffic & Transport,0.953
Facility damage reported near school,facility damage near school immediate danger,Civic Services,0.837
Collision reported on main road,collision on main road serious hazard,Traffic & Transport,0.868
Electric wire reported at junction,electric wire at junction emergency situation,Public Safety,0.928
Broken pavement reported near school,broken pavement near school high risk of injury,Roads & Infra,0.975
Burning waste reported near school,burning waste near school emergency situation,Environment,0.952
Water leakage reported in public park,water leakage in public park serious hazard,Water & Drainage,0.874
Public toilet reported on highway,public toilet on highway urgent action required,Civic Services,0.842
Signboard reported near office area,signboard near office area emergency situation,Civic Services,0.877
Vehicle jam reported in public park,vehicle jam in public park risk to public safety,Traffic & Transport,0.923
Garbage pile reported on highway,garbage pile on highway urgent action required,Waste & Sanitation,0.869
Medical waste reported near office area,medical waste near office area urgent action required,Healthcare,0.898
Footpath reported at hospital,footpath at hospital immediate danger,Public Spaces,0.846
Trash heap reported near office area,trash heap near office area serious hazard,Waste & Sanitation,0.776
Clinic issue reported at hospital,clinic issue at hospital urgent action required,Healthcare,0.934
Dust reported on main road,dust on main road immediate danger,Environment,0.878
Signboard reported near school,signboard near school urgent action required,Civic Services,0.894
Park bench reported on main road,park bench on main road emergency situation,Public Spaces,0.795
Vehicle jam reported in residential area,vehicle jam in residential area urgent action required,Traffic & Transport,0.825
Clinic issue reported on main road,clinic issue on main road serious hazard,Healthcare,0.808
Municipal office issue reported near school,municipal office issue near school immediate danger,Civic Services,0.791
Blocked road reported in residential area,blocked road in residential area urgent action required,Traffic & Transport,0.901
Power line reported at bus stop,power line at bus stop high risk of injury,Public Safety,0.754
Road crack reported at junction,road crack at junction emergency situation,Roads & Infra,0.834
Overflowing bin reported in public park,overflowing bin in public park risk to public safety,Waste & Sanitation,0.881
Smoke reported at junction,smoke at junction high risk of injury,Environment,0.837
Park bench reported on main road,park bench on main road risk to public safety,Public Spaces,0.806
Power line reported in residential area,power line in residential area immediate danger,Public Safety,0.831
Waterlogging reported in residential area,waterlogging in residential area high risk of injury,Water & Drainage,0.923
Municipal office issue reported near market,municipal office issue near market risk to public safety,Civic Services,0.906
Waterlogging reported in residential area,waterlogging in residential area high risk of injury,Water & Drainage,0.876
Damaged road reported near office area,damaged road near office area emergency situation,Roads & Infra,0.98
Sewage overflow reported near market,sewage overflow near market risk to public safety,Water & Drainage,0.966
Dust reported on main road,dust on main road urgent action required,Environment,0.971
Waterlogging reported near school,waterlogging near school emergency situation,Water & Drainage,0.843
Bus stop reported near office area,bus stop near office area high risk of injury,Public Spaces,0.844
Hospital equipment reported on main road,hospital equipment on main road risk to public safety,Healthcare,0.884
Clinic issue reported on main road,clinic issue on main road urgent action required,Healthcare,0.922
Blocked road reported near office area,blocked road near office area high risk of injury,Traffic & Transport,0.839
Flickering light reported near office area,flickering light near office area high risk of injury,Street Lighting,0.78
Dust reported at bus stop,dust at bus stop immediate danger,Environment,0.972
Health hazard reported at bus stop,health hazard at bus stop urgent action required,Healthcare,0.794
Fire reported near office area,fire near office area high risk of injury,Public Safety,0.959
Ambulance delay reported near office area,ambulance delay near office area serious hazard,Healthcare,0.889
Signboard reported at junction,signboard at junction risk to public safety,Civic Services,0.923
Public park reported in public park,public park in public park high risk of injury,Public Spaces,0.857
Public park reported near office area,public park near office area urgent action required,Public Spaces,0.836
Smoke reported in residential area,smoke in residential area immediate danger,Environment,0.807
Signboard reported near school,signboard near school high risk of injury,Civic Services,0.968
Collision reported at junction,collision at junction immediate danger,Traffic & Transport,0.825
Health hazard reported at junction,health hazard at junction high risk of injury,Healthcare,0.769
Flickering light reported near school,flickering light near school immediate danger,Street Lighting,0.751
Damaged road reported in residential area,damaged road in residential area immediate danger,Roads & Infra,0.9
Public park reported on main road,public park on main road high risk of injury,Public Spaces,0.917
Damaged road reported at junction,damaged road at junction immediate danger,Roads & Infra,0.95
Hospital equipment reported at junction,hospital equipment at junction risk to public safety,Healthcare,0.777
Sewage overflow reported near office area,sewage overflow near office area emergency situation,Water & Drainage,0.824
Municipal office issue reported on main road,municipal office issue on main road immediate danger,Civic Services,0.886
Municipal office issue reported near market,municipal office issue near market serious hazard,Civic Services,0.838
Lamp post reported in residential area,lamp post in residential area immediate danger,Street Lighting,0.826
Streetlight reported in public park,streetlight in public park urgent action required,Street Lighting,0.804
Water leakage reported near office area,water leakage near office area emergency situation,Water & Drainage,0.978
Chemical spill reported at hospital,chemical spill at hospital high risk of injury,Environment,0.967
Facility damage reported at bus stop,facility damage at bus stop urgent action required,Civic Services,0.961
Health hazard reported near school,health hazard near school serious hazard,Healthcare,0.977
Fire reported in public park,fire in public park urgent action required,Public Safety,0.952
Broken pavement reported near market,broken pavement near market urgent action required,Roads & Infra,0.894
Trash heap reported near office area,trash heap near office area emergency situation,Waste & Sanitation,0.844
Municipal office issue reported near office area,municipal office issue near office area risk to public safety,Civic Services,0.975
Lighting system reported near school,lighting system near school risk to public safety,Street Lighting,0.807
Accident reported in residential area,accident in residential area immediate danger,Traffic & Transport,0.913
Power line reported at hospital,power line at hospital serious hazard,Public Safety,0.795
Medical waste reported at bus stop,medical waste at bus stop immediate danger,Healthcare,0.753
Public park reported on highway,public park on highway urgent action required,Public Spaces,0.898
Broken pavement reported near market,broken pavement near market immediate danger,Roads & Infra,0.802
Sinkhole reported on main road,sinkhole on main road immediate danger,Roads & Infra,0.784
Building collapse reported near office area,building collapse near office area serious hazard,Public Safety,0.942
Hospital equipment reported near office area,hospital equipment near office area urgent action required,Healthcare,0.869
Pipe burst reported on highway,pipe burst on highway immediate danger,Water & Drainage,0.794
Lighting system reported in residential area,lighting system in residential area risk to public safety,Street Lighting,0.945
Collision reported near office area,collision near office area immediate danger,Traffic & Transport,0.929
Public park reported near school,public park near school emergency situation,Public Spaces,0.922
Municipal office issue reported on main road,municipal office issue on main road urgent action required,Civic Services,0.822
Pothole reported on highway,pothole on highway emergency situation,Roads & Infra,0.824
Hospital equipment reported on highway,hospital equipment on highway serious hazard,Healthcare,0.758
Street sign reported at hospital,street sign at hospital emergency situation,Civic Services,0.91
Dark street reported near office area,dark street near office area risk to public safety,Street Lighting,0.768
Fire reported at junction,fire at junction risk to public safety,Public Safety,0.759
Sinkhole reported near market,sinkhole near market high risk of injury,Roads & Infra,0.75
Gas leak reported at hospital,gas leak at hospital serious hazard,Public Safety,0.919
Damaged road reported on highway,damaged road on highway risk to public safety,Roads & Infra,0.812
Clinic issue reported near market,clinic issue near market urgent action required,Healthcare,0.889
Broken pavement reported near school,broken pavement near school serious hazard,Roads & Infra,0.863
Park bench reported near school,park bench near school risk to public safety,Public Spaces,0.753
Water leakage reported in residential area,water leakage in residential area risk to public safety,Water & Drainage,0.955
Sinkhole reported in residential area,sinkhole in residential area immediate danger,Roads & Infra,0.979
Sewage overflow reported in public park,sewage overflow in public park urgent action required,Water & Drainage,0.791
Public toilet reported at junction,public toilet at junction high risk of injury,Civic Services,0.838
Streetlight reported at junction,streetlight at junction high risk of injury,Street Lighting,0.836
Facility damage reported at bus stop,facility damage at bus stop serious hazard,Civic Services,0.968
Trash heap reported in public park,trash heap in public park high risk of injury,Waste & Sanitation,0.753
Burning waste reported on main road,burning waste on main road high risk of injury,Environment,0.91
Broken pavement reported in residential area,broken pavement in residential area serious hazard,Roads & Infra,0.851
Ambulance delay reported at junction,ambulance delay at junction serious hazard,Healthcare,0.804
Air pollution reported at junction,air pollution at junction immediate danger,Environment,0.964
Clinic issue reported in residential area,clinic issue in residential area risk to public safety,Healthcare,0.946
Facility damage reported near school,facility damage near school emergency situation,Civic Services,0.862
Facility damage reported in public park,facility damage in public park emergency situation,Civic Services,0.978
Litter reported on main road,litter on main road immediate danger,Waste & Sanitation,0.975
Sinkhole reported near office area,sinkhole near office area immediate danger,Roads & Infra,0.874
Blocked road reported at hospital,blocked road at hospital immediate danger,Traffic & Transport,0.796
Flickering light reported at bus stop,flickering light at bus stop immediate danger,Street Lighting,0.772
Street sign reported in public park,street sign in public park risk to public safety,Civic Services,0.879
Power line reported at bus stop,power line at bus stop urgent action required,Public Safety,0.793
Pothole reported near office area,pothole near office area serious hazard,Roads & Infra,0.843
Accident reported on main road,accident on main road urgent action required,Traffic & Transport,0.754
Sewage overflow reported on highway,sewage overflow on highway serious hazard,Water & Drainage,0.752
Footpath reported near market,footpath near market serious hazard,Public Spaces,0.814
Park bench reported in public park,park bench in public park serious hazard,Public Spaces,0.955
Lamp post reported at hospital,lamp post at hospital emergency situation,Street Lighting,0.923
Accident reported at hospital,accident at hospital high risk of injury,Traffic & Transport,0.882
Sewage overflow reported in residential area,sewage overflow in residential area emergency situation,Water & Drainage,0.952
Public park reported at bus stop,public park at bus stop urgent action required,Public Spaces,0.951
Lamp post reported near market,lamp post near market serious hazard,Street Lighting,0.925
Smoke reported near market,smoke near market urgent action required,Environment,0.975
Flickering light reported at hospital,flickering light at hospital serious hazard,Street Lighting,0.873
Overflowing bin reported near market,overflowing bin near market emergency situation,Waste & Sanitation,0.937
Park bench reported at junction,park bench at junction emergency situation,Public Spaces,0.869
Waste accumulation reported near school,waste accumulation near school emergency situation,Waste & Sanitation,0.804
Dust reported at junction,dust at junction emergency situation,Environment,0.941
Electric wire reported on main road,electric wire on main road serious hazard,Public Safety,0.872
Broken pavement reported in residential area,broken pavement in residential area immediate danger,Roads & Infra,0.893
Hospital equipment reported near school,hospital equipment near school urgent action required,Healthcare,0.885
Hospital equipment reported on main road,hospital equipment on main road immediate danger,Healthcare,0.935
Water leakage reported on main road,water leakage on main road risk to public safety,Water & Drainage,0.781
Medical waste reported near market,medical waste near market urgent action required,Healthcare,0.908
Footpath reported near office area,footpath near office area emergency situation,Public Spaces,0.91
Power line reported at hospital,power line at hospital high risk of injury,Public Safety,0.899
Flickering light reported near school,flickering light near school immediate danger,Street Lighting,0.893
Municipal office issue reported near school,municipal office issue near school urgent action required,Civic Services,0.948
Footpath reported on highway,footpath on highway risk to public safety,Public Spaces,0.902
Vehicle jam reported near office area,vehicle jam near office area urgent action required,Traffic & Transport,0.76
Collision reported near office area,collision near office area risk to public safety,Traffic & Transport,0.91
Power line reported in public park,power line in public park immediate danger,Public Safety,0.779
Litter reported at hospital,litter at hospital serious hazard,Waste & Sanitation,0.876
Burning waste reported near market,burning waste near market high risk of injury,Environment,0.799
Vehicle jam reported at bus stop,vehicle jam at bus stop emergency situation,Traffic & Transport,0.786
Dark street reported near market,dark street near market urgent action required,Street Lighting,0.778
Clinic issue reported near school,clinic issue near school risk to public safety,Healthcare,0.911
Smoke reported at junction,smoke at junction emergency situation,Environment,0.774
Air pollution reported in residential area,air pollution in residential area high risk of injury,Environment,0.847
Park bench reported in residential area,park bench in residential area emergency situation,Public Spaces,0.949
Flickering light reported at bus stop,flickering light at bus stop immediate danger,Street Lighting,0.78
Building collapse reported at hospital,building collapse at hospital risk to public safety,Public Safety,0.866
Garbage pile reported near market,garbage pile near market urgent action required,Waste & Sanitation,0.907
Broken pavement reported at junction,broken pavement at junction serious hazard,Roads & Infra,0.917
Broken pavement reported on highway,broken pavement on highway immediate danger,Roads & Infra,0.823
Waste accumulation reported in public park,waste accumulation in public park emergency situation,Waste & Sanitation,0.882
Power line reported on main road,power line on main road risk to public safety,Public Safety,0.82
Pipe burst reported near office area,pipe burst near office area risk to public safety,Water & Drainage,0.821
Medical waste reported near school,medical waste near school serious hazard,Healthcare,0.836
Vehicle jam reported at junction,vehicle jam at junction immediate danger,Traffic & Transport,0.906
Explosion risk reported on highway,explosion risk on highway high risk of injury,Public Safety,0.763
Park bench reported near office area,park bench near office area serious hazard,Public Spaces,0.768
Facility damage reported in public park,facility damage in public park emergency situation,Civic Services,0.85
Accident reported near office area,accident near office area urgent action required,Traffic & Transport,0.849
Smoke reported in public park,smoke in public park urgent action required,Environment,0.795
Explosion risk reported near office area,explosion risk near office area emergency situation,Public Safety,0.811
Municipal office issue reported at bus stop,municipal office issue at bus stop high risk of injury,Civic Services,0.97
Explosion risk reported on highway,explosion risk on highway immediate danger,Public Safety,0.928
Waterlogging reported on highway,waterlogging on highway serious hazard,Water & Drainage,0.77
Blocked road reported near school,blocked road near school serious hazard,Traffic & Transport,0.773
Lamp post reported near school,lamp post near school high risk of injury,Street Lighting,0.833
Playground equipment reported at junction,playground equipment at junction urgent action required,Public Spaces,0.946
Dark street reported on highway,dark street on highway urgent action required,Street Lighting,0.931
Lamp post reported near office area,lamp post near office area emergency situation,Street Lighting,0.816
Overflowing bin reported in public park,overflowing bin in public park urgent action required,Waste & Sanitation,0.824
Flickering light reported on highway,flickering light on highway emergency situation,Street Lighting,0.892
Ambulance delay reported in residential area,ambulance delay in residential area urgent action required,Healthcare,0.851
Sewage overflow reported on main road,sewage overflow on main road urgent action required,Water & Drainage,0.916
Explosion risk reported on main road,explosion risk on main road immediate danger,Public Safety,0.781
Streetlight reported near office area,streetlight near office area immediate danger,Street Lighting,0.808
Garbage pile reported at bus stop,garbage pile at bus stop high risk of injury,Waste & Sanitation,0.793
Dark street reported in residential area,dark street in residential area risk to public safety,Street Lighting,0.782
Accident reported at hospital,accident at hospital high risk of injury,Traffic & Transport,0.886
Dark street reported near school,dark street near school serious hazard,Street Lighting,0.861
Building collapse reported at hospital,building collapse at hospital risk to public safety,Public Safety,0.944
Power line reported at bus stop,power line at bus stop immediate danger,Public Safety,0.96
Footpath reported at bus stop,footpath at bus stop high risk of injury,Public Spaces,0.909
Hospital equipment reported at junction,hospital equipment at junction high risk of injury,Healthcare,0.971
Pothole reported near school,pothole near school serious hazard,Roads & Infra,0.941
Blocked road reported at junction,blocked road at junction serious hazard,Traffic & Transport,0.786
Air pollution reported on main road,air pollution on main road emergency situation,Environment,0.853
Playground equipment reported at junction,playground equipment at junction immediate danger,Public Spaces,0.845
Public toilet reported at bus stop,public toilet at bus stop emergency situation,Civic Services,0.964
Park bench reported on highway,park bench on highway immediate danger,Public Spaces,0.798
Electric wire reported at junction,electric wire at junction emergency situation,Public Safety,0.933
Gas leak reported near market,gas leak near market urgent action required,Public Safety,0.893
Blocked road reported in residential area,blocked road in residential area immediate danger,Traffic & Transport,0.917
Trash heap reported in residential area,trash heap in residential area serious hazard,Waste & Sanitation,0.762
Footpath reported near school,footpath near school serious hazard,Public Spaces,0.899
Dust reported near market,dust near market high risk of injury,Environment,0.788
Public park reported on main road,public park on main road risk to public safety,Public Spaces,0.881
Trash heap reported on main road,trash heap on main road immediate danger,Waste & Sanitation,0.944
Waterlogging reported at junction,waterlogging at junction high risk of injury,Water & Drainage,0.902
Explosion risk reported at bus stop,explosion risk at bus stop risk to public safety,Public Safety,0.968
Damaged road reported near office area,damaged road near office area emergency situation,Roads & Infra,0.811
Clinic issue reported near office area,clinic issue near office area urgent action required,Healthcare,0.774
Sewage overflow reported near office area,sewage overflow near office area serious hazard,Water & Drainage,0.861
Health hazard reported in residential area,health hazard in residential area high risk of injury,Healthcare,0.932
Collision reported in public park,collision in public park emergency situation,Traffic & Transport,0.758
Medical waste reported near market,medical waste near market immediate danger,Healthcare,0.949
Ambulance delay reported on main road,ambulance delay on main road emergency situation,Healthcare,0.928
Burning waste reported at junction,burning waste at junction urgent action required,Environment,0.78
Sewage overflow reported in residential area,sewage overflow in residential area emergency situation,Water & Drainage,0.773
Road crack reported in public park,road crack in public park high risk of injury,Roads & Infra,0.912
Public toilet reported at hospital,public toilet at hospital risk to public safety,Civic Services,0.892
Street sign reported at junction,street sign at junction risk to public safety,Civic Services,0.754
Road crack reported on highway,road crack on highway emergency situation,Roads & Infra,0.921
Lamp post reported at junction,lamp post at junction high risk of injury,Street Lighting,0.974
Accident reported in residential area,accident in residential area urgent action required,Traffic & Transport,0.94
Lighting system reported at bus stop,lighting system at bus stop serious hazard,Street Lighting,0.856
Municipal office issue reported at hospital,municipal office issue at hospital high risk of injury,Civic Services,0.928
Signboard reported on main road,signboard on main road urgent action required,Civic Services,0.854
Municipal office issue reported near school,municipal office issue near school risk to public safety,Civic Services,0.901
Traffic congestion reported at bus stop,traffic congestion at bus stop high risk of injury,Traffic & Transport,0.761
Road crack reported in residential area,road crack in residential area high risk of injury,Roads & Infra,0.898
Burning waste reported on highway,burning waste on highway serious hazard,Environment,0.975
Health hazard reported in residential area,health hazard in residential area emergency situation,Healthcare,0.756
Gas leak reported at bus stop,gas leak at bus stop serious hazard,Public Safety,0.852
Collision reported at bus stop,collision at bus stop urgent action required,Traffic & Transport,0.953
Signboard reported near school,signboard near school high risk of injury,Civic Services,0.947
Playground equipment reported at junction,playground equipment at junction emergency situation,Public Spaces,0.935
Litter reported near school,litter near school high risk of injury,Waste & Sanitation,0.952
Smoke reported at bus stop,smoke at bus stop emergency situation,Environment,0.78
Broken pavement reported near market,broken pavement near market risk to public safety,Roads & Infra,0.957
Bus stop reported at bus stop,bus stop at bus stop risk to public safety,Public Spaces,0.826
Municipal office issue reported near market,municipal office issue near market risk to public safety,Civic Services,0.923
Fire reported near market,fire near market immediate danger,Public Safety,0.978
Lighting system reported on highway,lighting system on highway emergency situation,Street Lighting,0.813
Garbage pile reported at bus stop,garbage pile at bus stop high risk of injury,Waste & Sanitation,0.853
Municipal office issue reported in public park,municipal office issue in public park urgent action required,Civic Services,0.817
